2025-05-21 21:44:41.302 | main | INFO  | com.llf.TliasWebManagementApplication - Starting TliasWebManagementApplication using Java 17.0.9 with PID 16124 (D:\交易帮\后端源码\web-ai-project01\tlias-web-management\target\classes started by 梁骆富 in D:\交易帮\后端源码\web-ai-project01)
2025-05-21 21:44:41.306 | main | INFO  | com.llf.TliasWebManagementApplication - No active profile set, falling back to 1 default profile: "default"
2025-05-21 21:44:42.405 | main | INFO  | org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8083"]
2025-05-21 21:44:42.407 | main | INFO  | org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-05-21 21:44:42.407 | main | INFO  | org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
2025-05-21 21:44:42.464 | main | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-05-21 21:44:43.509 | main | INFO  | org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8083"]
2025-05-21 21:44:43.538 | main | INFO  | com.llf.TliasWebManagementApplication - Started TliasWebManagementApplication in 2.579 seconds (process running for 3.189)
2025-05-21 21:45:13.851 | http-nio-8083-exec-1 | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-05-21 21:45:13.875 | http-nio-8083-exec-1 | INFO  | com.llf.interceptor.TokenInterceptor - Interceptor拦截到了请求，但是请求头中没有token
2025-05-21 21:45:15.162 | http-nio-8083-exec-2 | INFO  | com.llf.interceptor.TokenInterceptor - Interceptor拦截到了请求，但是请求头中没有token
2025-05-21 21:45:26.965 | http-nio-8083-exec-5 | INFO  | com.llf.interceptor.TokenInterceptor - Interceptor拦截到了请求，但是请求头中没有token
2025-05-21 21:46:51.213 | main | INFO  | com.llf.TliasWebManagementApplication - Starting TliasWebManagementApplication using Java 17.0.9 with PID 30620 (D:\交易帮\后端源码\web-ai-project01\tlias-web-management\target\classes started by 梁骆富 in D:\交易帮\后端源码\web-ai-project01)
2025-05-21 21:46:51.215 | main | INFO  | com.llf.TliasWebManagementApplication - No active profile set, falling back to 1 default profile: "default"
2025-05-21 21:46:52.343 | main | INFO  | org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8083"]
2025-05-21 21:46:52.344 | main | INFO  | org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-05-21 21:46:52.344 | main | INFO  | org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
2025-05-21 21:46:52.394 | main | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-05-21 21:46:53.254 | main | INFO  | org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8083"]
2025-05-21 21:46:53.280 | main | INFO  | com.llf.TliasWebManagementApplication - Started TliasWebManagementApplication in 2.382 seconds (process running for 2.781)
